,ext,name
70,"{'', '.rst', '.new_t', '.xhtml_t', '.png', '.pickle', '.gif', '.py_t', '.opf_t', '.mo', '.pyx', '.c', '.json', '.sty', '.cls', '.pyc', '.py', '.css_t', '.template', '.html', '.exe', '.xml', '.txt', '.svg', '.yaml', '.css', '.po', '.ncx_t', '.bat_t', '.js', '.tex_t', '.ist', '.rst_t', '.js_t', '.conf', '.pot'}",sphinx-1.6.3-py27_0.tar.bz2
71,"{'', '.txt', '.yaml', '.json', '.dat', '.rendered', '.pyc', '.py'}",oceans-0.3.0-py27_0.tar.bz2
72,"{'', '.rst', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",ipywidgets-5.2.3-py35_0.tar.bz2
73,"{'', '.exe', '.bat', '.yaml', '.json', '.egg-info', '.pyd', '.sh', '.pyc', '.py', '.template'}",tuiview-1.2.0-np112py27_0.tar.bz2
74,"{'', '.exe', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",frosted-1.4.1-py27_0.tar.bz2
75,"{'', '.h', '.exe', '.cmake', '.dll', '.lib', '.bat', '.yaml', '.json', '.sh', '.py', '.j2k'}",openjpeg-2.1.0-vc10_1.tar.bz2
76,"{'', '.exe', '.bat', '.txt', '.yaml', '.json', '.pyd', '.sh', '.tif', '.rendered', '.pyc', '.py'}",rasterio-1.0a2-np111py35_1.tar.bz2
77,"{'', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",flask-httpauth-3.2.0-py35_0.tar.bz2
78,"{'', '.exe', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",pyflakes-1.5.0-py36_0.tar.bz2
79,"{'', '.h', '.patch', '.exe', '.xml', '.bat', '.lib', '.dll', '.yaml', '.json', '.sh', '.rendered'}",libxml2-2.9.4-vc14_0.tar.bz2
80,"{'', '.txt', '.yaml', '.json', '.pyd', '.pyc', '.py', '.template'}",pykdtree-1.2.2-np113py27_0.tar.bz2
81,"{'', '.settings', '.patch', '.h', '.cmake', '.bat', '.txt', '.lib', '.dll', '.yaml', '.json', '.sh', '.rendered'}",hdf4-4.2.12-vc10_0.tar.bz2
82,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",rednose-1.2.2-py36_0.tar.bz2
83,"{'', '.exe', '.xml', '.txt', '.cdl', '.j2', '.pyc', '.yaml', '.json', '.rendered', '.nc', '.py'}",compliance-checker-2.3.1-py34_0.tar.bz2
84,"{'', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",hiveplot-0.1.8.4-py35_0.tar.bz2
85,"{'', '.mako', '.exe', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",alembic-0.8.10-py35_1.tar.bz2
86,"{'', '.xml', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",textblob-0.11.1-py27_0.tar.bz2
87,"{'', '.js', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",django-jquery-3.1.0-py27_0.tar.bz2
88,"{'', '.patch', '.png', '.gif', '.afm', '.pyd', '.sh', '.nib', '.bat', '.xpm', '.json', '.pyc', '.py', '.mplstyle', '.html', '.txt', '.svg', '.yaml', '.css', '.pdf', '.TXT', '.rendered', '.ttf', '.js', '.ipynb', '.ppm'}",matplotlib-1.5.2-np111py27_3.tar.bz2
89,"{'', '.exe', '.bat', '.txt', '.yaml', '.json', '.sh', '.pyc', '.py', '.template'}",conda-build-2.1.4-py35_0.tar.bz2
90,"{'', '.exe', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",px4tools-0.4.5-py35_0.tar.bz2
91,"{'', '.exe', '.txt', '.yaml', '.json', '.pyd', '.pyc', '.py', '.template'}",av-0.3.3-py27_0.tar.bz2
92,"{'', '.bat', '.yaml', '.json', '.sh', '.pem', '.rendered'}",ca-certificates-2016.2.28-1.tar.bz2
93,"{'', '.exe', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",twine-1.8.1-py35_0.tar.bz2
94,"{'', '.rst', '.js', '.exe', '.bat', '.txt', '.yaml', '.css', '.json', '.sh', '.rendered', '.pyc', '.py'}",ipyparallel-5.2.0-py27_1.tar.bz2
95,"{'', '.patch', '.bat', '.txt', '.cfg', '.krb', '.yaml', '.json', '.sh', '.pyc', '.py', '.LESSER', '.template'}",iris-1.12.0-py27_2.tar.bz2
96,"{'', '.exe', '.txt', '.jpx', '.yaml', '.json', '.jp2', '.tif', '.pyc', '.py', '.j2k', '.template'}",glymur-0.8.4-py35_0.tar.bz2
97,"{'', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",owslib-0.13.0-py35_0.tar.bz2
98,"{'', '.doctest', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",nltk-3.2.4-py35_0.tar.bz2
99,"{'', '.h', '.exe', '.txt', '.yaml', '.json', '.pyd', '.pxd', '.rendered', '.pyc', '.py'}",sklearn-contrib-lightning-0.4.0-np111py27_0.tar.bz2
100,"{'', '.ttf', '.html', '.woff2', '.js', '.txt', '.png', '.map', '.woff', '.yaml', '.css', '.js_t', '.json', '.svg', '.eot', '.conf', '.pyc', '.py', '.css_t', '.template'}",sphinx_bootstrap_theme-0.5.1-py27_0.tar.bz2
101,"{'', '.h', '.patch', '.exe', '.bat', '.txt', '.lib', '.dll', '.yaml', '.json', '.sh', '.template'}",libxslt-1.1.29-vc14_4.tar.bz2
102,"{'', '.exe', '.txt', '.yaml', '.json', '.pyd', '.pyc', '.py', '.template'}",aubio-0.4.4-np111py36_6.tar.bz2
103,"{'', '.txt', '.yaml', '.json', '.pth', '.pyc', '.py', '.template'}",ruamel.yaml-0.15.18-py27_0.tar.bz2
104,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",requests-2.17.3-py35_0.tar.bz2
105,"{'', '.yaml', '.json', '.egg-info', '.pyd', '.rendered', '.pyc', '.py'}",regex-2016.07.21-py35_0.tar.bz2
106,"{'', '.h', '.txt', '.yaml', '.c', '.json', '.pyd', '.pyc', '.py', '.template'}",python-levenshtein-0.12.0-py36_0.tar.bz2
107,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",factory_boy-2.8.1-py36_0.tar.bz2
108,"{'', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",munch-2.0.4-py36_0.tar.bz2
109,"{'', '.js', '.bat', '.txt', '.map', '.yaml', '.json', '.sh', '.pyc', '.py'}",pythreejs-0.2.0-py34_0.tar.bz2
110,"{'', '.exe', '.txt', '.yaml', '.json', '.dat', '.pyc', '.py', '.template'}",ftfy-4.4.2-py35_0.tar.bz2
111,"{'', '.txt', '.yaml', '.json', '.egg-info', '.pyd', '.pyc', '.py', '.template'}",gitdb-0.6.4-py36_1.tar.bz2
112,"{'', '.exe', '.bat', '.txt', '.yaml', '.json', '.tmpl', '.pyc', '.py'}",conda-smithy-1.1.0-py34_0.tar.bz2
113,"{'', '.3', '.h', '.a', '.bat', '.txt', '.la', '.png', '.exe', '.yaml', '.info', '.json', '.1', '.sh', '.pc', '.el', '.template'}",libidn11-1.33-vc14_0.tar.bz2
114,"{'', '.yaml', '.json', '.egg-info', '.pyc', '.py', '.template'}",pysocks-1.5.7-py36_0.tar.bz2
115,"{'', '.txt', '.yaml', '.json', '.pth', '.pyc', '.py', '.template'}",reprounzip-vagrant-1.0.9-py27_0.tar.bz2
116,"{'', '.exe', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",mu_repo-1.5.0-py36_0.tar.bz2
117,"{'', '.dbf', '.patch', '.bat', '.txt', '.shx', '.npz', '.shp', '.yaml', '.png', '.pyc', '.json', '.pyd', '.TXT', '.rendered', '.sh', '.jpg', '.nc', '.py'}",cartopy-0.14.2-np110py35_1.tar.bz2
118,"{'', '.exe', '.bat', '.txt', '.png', '.yaml', '.json', '.sh', '.ico', '.pyc', '.py'}",xonsh-0.4.4-py34_1.tar.bz2
119,"{'', '.txt', '.yaml', '.json', '.pyc', '.py'}",tempita-0.5.3dev-py27_0.tar.bz2
120,"{'', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",salib-1.0.1-py27_0.tar.bz2
121,"{'', '.exe', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",pytest-3.0.5-py27_0.tar.bz2
122,"{'', '.ts', '.gif', '.eot', '.sh', '.woff2', '.bat', '.map', '.json', '.pyc', '.py', '.template', '.html', '.exe', '.txt', '.svg', '.yaml', '.css', '.ttf', '.js', '.woff', '.manifest'}",jupyterlab-0.17.0-py35_0.tar.bz2
123,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",boltons-17.1.0-py36_0.tar.bz2
124,"{'', '.html', '.h', '.diff', '.cmake', '.bat', '.txt', '.lib', '.dll', '.yaml', '.css', '.hxx', '.json', '.pyd', '.sh', '.ico', '.pyc', '.py', '.template'}",vigra-1.11.1-np112py36_2.tar.bz2
125,"{'', '.spdx', '.txt', '.png', '.yaml', '.json', '.exr', '.csv', '.pyc', '.py', '.template'}",colour-science-0.3.8-py35_0.tar.bz2
126,"{'', '.txt', '.yaml', '.json', '.pyc', '.py'}",oauth2client-2.2.0-py34_0.tar.bz2
127,"{'', '.exe', '.txt', '.yaml', '.json', '.1', '.pyc', '.py'}",qrcode-5.2.2-py35_0.tar.bz2
128,"{'', '.exe', '.txt', '.yaml', '.json', '.pyd', '.pyc', '.py', '.template'}",misaka-2.1.0-py27_0.tar.bz2
129,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",pytools-2017.3-py35_0.tar.bz2
130,"{'', '.h', '.pxi', '.bat', '.txt', '.yaml', '.c', '.json', '.pyd', '.sh', '.pxd', '.pyc', '.py', '.template'}",pyzmq-16.0.2-py35_2.tar.bz2
131,"{'', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",podaacpy-1.4.0-py27_0.tar.bz2
132,"{'', '.settings', '.patch', '.h', '.cmake', '.bat', '.txt', '.exe', '.lib', '.dll', '.yaml', '.json', '.sh', '.path', '.pc', '.template'}",libnetcdf-4.4.1.1-vc9_4.tar.bz2
