,ext,name
115,"{'', '.txt', '.py', '.rendered', '.mako', '.pyc', '.json', '.yaml'}",alembic-0.8.7-py34_1.tar.bz2
116,"{'', '.sh', '.c', '.txt', '.py', '.patch', '.rendered', '.so', '.pyc', '.egg-info', '.json', '.bat', '.fmu', '.yaml'}",pyfmi-2.3.1-np110py27_0.tar.bz2
117,"{'', '.txt', '.py', '.rendered', '.js', '.pyc', '.json', '.yaml'}",django-jquery-3.1.0-py27_0.tar.bz2
118,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",hiveplot-0.1.8.4-py35_0.tar.bz2
119,"{'', '.txt', '.py', '.so', '.pyc', '.json', '.yaml', '.template'}",av-0.3.3-py27_0.tar.bz2
120,"{'', '.sh', '.rendered', '.json', '.bat', '.yaml', '.pem'}",ca-certificates-2016.2.28-1.tar.bz2
121,"{'', '.txt', '.h', '.cpp', '.py', '.so', '.pyc', '.json', '.yaml'}",bob.blitz-2.0.8-np111py27_5.tar.bz2
122,"{'', '.css', '.sh', '.txt', '.py', '.rendered', '.js', '.pyc', '.json', '.bat', '.yaml', '.rst'}",ipyparallel-5.2.0-py27_1.tar.bz2
123,"{'', '.sh', '.css', '.ico', '.h', '.html', '.py', '.so', '.pyc', '.0', '.json', '.yaml', '.hxx', '.template', '.11', '.cmake'}",vigra-1.11.0-np111py34_10.tar.bz2
124,"{'', '.sh', '.css', '.txt', '.diff', '.h', '.ico', '.html', '.py', '.so', '.1', '.pyc', '.json', '.bat', '.yaml', '.hxx', '.template', '.11', '.cmake'}",vigra-1.11.1-np112py36_2.tar.bz2
125,"{'', '.sh', '.txt', '.py', '.so', '.pyc', '.json', '.yaml', '.template'}",python-confluent-kafka-0.9.4-py27_0.tar.bz2
126,"{'', '.ini', '.txt', '.pxi', '.py', '.pxd', '.so', '.pyx', '.pyc', '.json', '.bat', '.npy', '.yaml', '.template', '.cfg'}",qutip-4.0.2-np111py36_1.tar.bz2
127,"{'', '.sh', '.h', '.rendered', '.a', '.json', '.yaml'}",g2clib-1.6.0-0.tar.bz2
128,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",twine-1.8.1-py35_0.tar.bz2
