,ext,name
81,"{'', '.json', '.yaml', '.sh', '.h', '.bat', '.txt', '.template', '.so', '.py', '.pyx', '.pyc', '.pxd'}",pyarrow-0.4.0-np111py35_0.tar.bz2
82,"{'', '.json', '.yaml', '.sh', '.h', '.cmake', '.bat', '.dylib', '.j2k', '.pc'}",openjpeg-2.1.0-3.tar.bz2
83,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",python-mimeparse-1.6.0-py36_0.tar.bz2
84,"{'', '.json', '.yaml', '.so', '.py', '.pyc', '.egg-info'}",regex-2016.05.15-py27_0.tar.bz2
85,"{'', '.json', '.yaml', '.sh', '.template', '.txt', '.info'}",time-1.7-0.tar.bz2
86,"{'', '.json', '.yaml', '.sh', '.bat', '.txt', '.tif', '.rendered', '.so', '.py', '.pyc'}",rasterio-1.0a2-np111py35_1.tar.bz2
87,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.cml', '.pyc'}",iris-grib-0.10.1-py27_0.tar.bz2
88,"{'', '.txt', '.so', '.c', '.sh', '.h', '.patch', '.rendered', '.f', '.json', '.ini', '.npz', '.pkl', '.yaml', '.cfg', '.bat', '.npy', '.f90', '.a', '.pyc', '.py', '.fits'}",numpy-1.11.2-py27_blas_openblas_201.tar.bz2
89,"{'', '.json', '.yaml', '.sh', '.bat', '.txt', '.js', '.pyc', '.py', '.map'}",bqplot-0.7.1-py34_2.tar.bz2
90,"{'', '.json', '.yaml', '.txt', '.md', '.rendered', '.py', '.pyc'}",ipycache-0.1.4-py27_1.tar.bz2
91,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",slicerator-0.9.8-py35_0.tar.bz2
92,"{'', '.json', '.yaml', '.sh', '.template', '.txt', '.cfg', '.bat', '.patch', '.LESSER', '.py', '.krb', '.pyc'}",iris-1.12.0-py27_2.tar.bz2
93,"{'', '.json', '.yaml', '.template', '.txt', '.rst', '.py', '.pyc'}",ipywidgets-5.2.3-py35_0.tar.bz2
94,"{'', '.json', '.bash', '.yaml', '.template', '.txt', '.py', '.pyc'}",snakebite-2.11.0-py27_0.tar.bz2
95,"{'', '.json', '.yaml', '.txt', '.rendered', '.dat', '.py', '.pyc'}",oceans-0.3.0-py27_0.tar.bz2
96,"{'', '.json', '.yaml', '.sh', '.template', '.bat', '.so', '.py', '.pyc', '.egg-info'}",tuiview-1.2.0-np112py27_0.tar.bz2
97,"{'', '.json', '.yaml', '.sh', '.template', '.dylib', '.so', '.py', '.pyc'}",python-ecmwf_grib-1.19.0-np112py27_1.tar.bz2
98,"{'', '.json', '.yaml', '.sh', '.template', '.txt', '.gz', '.so', '.py', '.pyc'}",scikit-sparse-0.4.2-np113py36_0.tar.bz2
99,"{'', '.json', '.yaml', '.txt', '.cdl', '.j2', '.rendered', '.xml', '.py', '.nc', '.pyc'}",compliance-checker-2.3.1-py34_0.tar.bz2
100,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",frosted-1.4.1-py27_0.tar.bz2
101,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",flask-httpauth-3.2.0-py35_0.tar.bz2
102,"{'', '.c', '.json', '.yaml', '.h', '.patch', '.txt', '.rendered', '.so', '.py', '.a', '.pyc'}",ncephes-1.0.13-py35_0.tar.bz2
103,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",pyflakes-1.5.0-py36_0.tar.bz2
104,"{'', '.pdf', '.svg', '.ttf', '.txt', '.so', '.ipynb', '.sh', '.patch', '.afm', '.png', '.json', '.yaml', '.bat', '.js', '.pth', '.mplstyle', '.pyc', '.css', '.gif', '.ppm', '.template', '.html', '.py'}",matplotlib-2.0.0-np112py36_1.tar.bz2
105,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.mako', '.pyc'}",alembic-0.8.10-py35_1.tar.bz2
106,"{'', '.c', '.json', '.yaml', '.h', '.template', '.txt', '.so', '.py', '.a', '.pyc'}",numpy-sugar-1.0.35-py35_0.tar.bz2
107,"{'', '.json', '.yaml', '.template', '.txt', '.so', '.py', '.pyx', '.pyc', '.pxd'}",cymem-1.31.2-py36_0.tar.bz2
108,"{'', '.json', '.yaml', '.txt', '.rendered', '.xml', '.py', '.pyc'}",textblob-0.11.1-py27_0.tar.bz2
109,"{'', '.json', '.yaml', '.h', '.txt', '.so', '.py', '.pyc', '.cpp'}",bob.blitz-2.0.8-np111py27_5.tar.bz2
110,"{'', '.json', '.yaml', '.template', '.txt', '.so', '.py', '.pyc'}",pykdtree-1.2.2-np113py27_0.tar.bz2
111,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",rednose-1.2.2-py36_0.tar.bz2
112,"{'', '.json', '.yaml', '.txt', '.tif', '.jpx', '.j2k', '.py', '.jp2', '.pyc'}",glymur-0.8.4-py35_0.tar.bz2
113,"{'', '.json', '.yaml', '.template', '.txt', '.doctest', '.py', '.pyc'}",nltk-3.2.4-py35_0.tar.bz2
114,"{'', '.json', '.yaml', '.sh', '.bat', '.txt', '.template', '.exe', '.py', '.pyc'}",conda-build-2.1.4-py35_0.tar.bz2
